elev,lat,lon,yrst,yrstp,notes,reference
1130,56.82,-4.96,1992,2019,ISD,
80,58.28,-4.43,1993,2019,ISD,
249,56.87,-4.7,1983,2019,ISD,
112,58.63,-5,1973,2001,ISD,
41,57.13,-4.71,1973,2005,ISD,
32,58.6,-4.01,1978,2001,ISD,
3,57.68,-4.16,1984,2002,ISD,
9.4,57.54,-4.04,1973,2019,ISD,
145,56.7,-4.01,1973,2002,ISD,
18,57.87,-3.76,1973,2005,ISD,
4,57.82,-3.96,1989,2019,ISD,
341,57.17,-3.7,1973,1980,ISD,
1245,57.12,-3.63,1985,2019,ISD,
6.7,57.65,-3.56,1973,2019,ISD,
560,56.9,-3.63,1986,2005,ISD,
12.8,57.71,-3.33,1973,2019,ISD,
10,58.62,-3.55,1995,2004,ISD,
38.4,58.46,-3.09,1929,2019,ISD,
43.9,50.96,-2.93,2018,2019,ISD,
39,58.45,-3.1,1993,1999,ISD,
140,57.08,-2.83,1989,2019,ISD,
308,56.77,-3.38,2004,2006,ISD,
134,56.85,-2.26,1987,2019,ISD,
231,57.63,-2.23,1973,1989,ISD,
65.5,57.2,-2.19,1926,2019,ISD,
15,57.5,-1.76,1978,2016,ISD,
19,57.68,-2,1973,1990,ISD,
175,56.65,-3.38,2001,2004,ISD,
11.6,56.5,-6.86,1929,2019,ISD,
23,55.67,-6.5,1984,2005,ISD,
17,55.68,-6.25,2001,2019,ISD,
18,55.68,-6.25,1973,1988,ISD,
18,55.68,-6.25,1988,1988,ISD,
83,55.82,-5.1,1973,1985,ISD,
10,55.43,-5.7,1973,2019,ISD,
4,56.42,-5.46,1978,2019,ISD,
40,56.4,-5,2001,2009,ISD,
15,55,-5.15,1973,2005,ISD,
46,55.7,-5.3,1988,2008,ISD,
12,55.42,-5.11,1986,2004,ISD,
17,54.85,-4.95,1973,2007,ISD,
78,54.63,-4.85,1973,2005,ISD,
12,54.85,-4.95,1983,2019,ISD,
59,55.9,-4.53,2003,2019,ISD,
19.8,55.51,-4.58,1944,2019,ISD,
